id;Time;Post1;Post2;Difference;Frequency;Amplitude;Duration
1939635;1571816150677;2;1;25802.29;9356.68;17.94;5.38
1939953;1571816151541;4;2;-8564.18;9356.63;0.66;3.57
1940058;1571816151925;2;1;25907.22;9356.73;15.22;4.95
1940070;1571816151925;2;1;25850.26;9356.70;14.93;5.13
1940103;1571816152021;2;3;8328.23;9356.68;17.04;5.47
1940104;1571816152021;2;1;25835.27;9356.68;17.04;5.47
1940108;1571816152021;2;3;8649.01;9356.67;14.78;3.40
1940109;1571816152021;2;1;26153.05;9356.67;14.78;3.40
1940121;1571816152033;4;2;-8801.01;9356.71;0.50;1.89
1940150;1571816152093;4;1;16959.73;9356.70;6.44;5.44
1940152;1571816152093;4;1;16962.73;9356.65;8.13;5.55
1940153;1571816152105;4;2;-8866.97;9356.66;18.08;5.51
1940154;1571816152105;4;1;16968.73;9356.66;18.08;5.51
1940155;1571816152105;2;1;25835.27;9356.65;19.30;5.58
1940156;1571816152105;4;2;-8869.97;9356.69;18.28;5.49
1940157;1571816152105;4;1;16965.73;9356.69;18.28;5.49
1940158;1571816152105;2;1;25835.27;9356.65;20.18;5.60
1940159;1571816152117;4;2;-8872.96;9356.66;19.69;5.58
1940160;1571816152117;4;1;16965.73;9356.66;19.69;5.58
1940161;1571816152117;2;1;25838.27;9356.57;35.25;5.69
1940167;1571816152117;4;2;-8872.96;9356.67;18.58;5.54
1940168;1571816152117;4;1;16965.73;9356.67;18.58;5.54
1940169;1571816152117;2;1;25838.27;9356.56;34.70;5.69
1940181;1571816152129;4;2;-8881.96;9356.64;5.58;5.61
1940182;1571816152129;4;1;16950.74;9356.64;5.58;5.61
1940183;1571816152129;2;1;25832.27;9356.59;26.12;5.63
1940230;1571816152177;2;1;25865.25;9356.73;16.81;4.81
1940231;1571816152177;2;1;25952.19;9356.75;17.61;5.00
1940234;1571816152201;4;2;-8878.96;9356.67;5.67;5.52
1940235;1571816152201;4;1;16971.73;9356.67;5.67;5.52
1940236;1571816152201;2;1;25850.26;9356.73;2.11;5.31
1940237;1571816152201;4;2;-8884.96;9356.66;5.48;5.54
1940238;1571816152201;4;1;16965.73;9356.66;5.48;5.54
1940239;1571816152201;2;1;25850.26;9356.75;16.44;5.30
1940240;1571816152213;4;2;-8881.96;9356.65;6.76;5.55
1940241;1571816152213;4;1;16968.73;9356.65;6.76;5.55
1940242;1571816152213;2;1;25850.26;9356.68;25.69;5.48
1940251;1571816152213;4;2;-8875.96;9356.70;6.02;5.52
1940252;1571816152213;4;1;16971.73;9356.70;6.02;5.52
1940253;1571816152213;2;1;25847.26;9356.61;25.47;5.61
1940406;1571816152597;4;2;-8792.02;9356.74;1.70;4.74
1940408;1571816152597;4;2;-8666.11;9356.72;1.27;3.97
1940997;1571816153845;2;1;25715.35;9356.72;15.22;4.82
1940998;1571816153845;2;1;25916.22;9356.74;14.62;4.36
1941285;1571816154517;2;1;25991.16;9356.71;14.78;4.42
1941928;1571816155477;2;1;26081.10;9356.78;14.47;1.75
1942015;1571816155669;2;1;25862.25;9356.77;16.05;5.16
1942017;1571816155669;2;1;25850.26;9356.73;16.31;5.21
1942108;1571816155945;4;1;17340.47;9356.77;0.51;2.66
1942109;1571816155945;4;2;-8932.92;9356.79;0.67;2.81
1942110;1571816155957;4;2;-8866.97;9356.72;2.63;5.36
1942112;1571816155957;4;2;-8872.96;9356.75;2.50;5.38
1942140;1571816156053;4;2;-8252.39;9356.68;0.66;1.83
1942141;1571816156053;4;1;17595.29;9356.68;0.66;1.83
1942142;1571816156053;2;1;25847.26;9356.70;19.48;5.42
1942143;1571816156053;4;2;-8825.00;9356.78;0.50;3.40
1942144;1571816156053;4;1;17031.68;9356.78;0.50;3.40
1942145;1571816156053;2;1;25856.26;9356.71;19.03;5.35
1942170;1571816156125;2;1;26009.15;9356.74;14.90;4.72
1942171;1571816156125;2;1;25976.17;9356.77;15.73;4.87
1942172;1571816156137;4;2;-8890.95;9356.63;8.37;5.63
1942173;1571816156137;4;1;16965.73;9356.63;8.37;5.63
1942174;1571816156137;2;1;25856.26;9356.72;3.35;5.32
1942175;1571816156137;4;2;-8887.95;9356.60;9.60;5.67
1942176;1571816156137;4;1;16956.74;9356.60;9.60;5.67
1942177;1571816156137;2;1;25844.27;9356.66;5.76;5.51
1942178;1571816156149;4;2;-8875.96;9356.64;14.18;5.61
1942179;1571816156149;4;1;16968.73;9356.64;14.18;5.61
1942180;1571816156149;2;1;25844.27;9356.59;29.83;5.65
1942181;1571816156149;4;2;-8878.96;9356.64;14.91;5.63
1942182;1571816156149;4;1;16959.73;9356.64;14.91;5.63
1942183;1571816156149;2;1;25838.27;9356.56;30.36;5.69
1942185;1571816156161;4;2;-8875.96;9356.62;7.06;5.63
1942186;1571816156161;4;1;16965.73;9356.62;7.06;5.63
1942187;1571816156161;2;1;25841.27;9356.60;23.59;5.66
1942217;1571816156209;2;1;25931.20;9356.74;19.57;5.17
1942218;1571816156209;2;1;25940.20;9356.70;17.83;5.16
1942220;1571816156221;4;2;-8998.88;9356.67;5.31;5.52
1942221;1571816156221;4;1;16962.73;9356.67;5.31;5.52
1942222;1571816156221;2;1;25961.18;9356.78;18.02;4.88
