id;PoiteId;Time;Post1;Post2;Difference;Frequency;Amplitude;Duration;Latitude;Longitude;Altitude;FilterId
3752235;2424564;1632129526106;2;3;-12184.83614646;436857.0;24.8086628456975;12.89;;;;58049
3752236;2424565;1632129526109;2;3;-12196.8278425616;436909.0;25.2058661295671;12.96;;;;58049
3752237;2424566;1632129526113;2;3;-12184.83614646;437030.0;25.5003312659813;13.08;;;;58049
3752239;2424568;1632129526116;2;3;-12175.8423743839;437066.0;25.8677650674021;13.11;;;;58049
3752243;2424571;1632129526152;2;1;-9842.29765251501;437114.0;34.3651884787805;13.29;29.5748601751739;30.6232834515002;0.0;0
3752244;2424571;1632129526152;4;1;-5783.34521527164;436353.0;31.9630653599031;12.81;29.5748601751739;30.6232834515002;0.0;0
3752245;2424571;1632129526152;4;2;4029.20989011624;436353.0;31.9630653599031;12.81;29.5748601751739;30.6232834515002;0.0;0
3752256;2424578;1632129526206;4;1;-5906.26010031239;437143.0;31.5867618036991;13.01;29.0178992838051;30.2514513398358;0.0;0
3752257;2424578;1632129526206;4;2;3885.3095368978;437143.0;31.5867618036991;13.01;29.0178992838051;30.2514513398358;0.0;0
3752258;2424578;1632129526206;4;3;-8308.52254055903;437143.0;31.5867618036991;13.01;29.0178992838051;30.2514513398358;0.0;0
3752262;2424581;1632129526210;2;3;-12160.852754257;437020.0;37.23239484645;13.16;28.4949605513682;29.9440727293966;0.0;58049
3752263;2424581;1632129526210;2;1;-9821.31218433732;437020.0;37.23239484645;13.16;28.4949605513682;29.9440727293966;0.0;58049
3752264;2424582;1632129526213;2;3;-12163.8506782823;437016.0;37.1581316086027;13.11;28.4376493851765;29.9115695275833;0.0;58049
3752265;2424582;1632129526213;2;1;-9824.3101083627;437016.0;37.1581316086027;13.11;28.4376493851765;29.9115695275833;0.0;58049
3752280;2424592;1632129526310;4;2;3867.3219927455;437103.0;33.3106577147269;13.24;;;;0
3752329;2424621;1632129526360;2;1;-9818.31426031193;436783.0;31.3786942141668;13.08;;;;0
3752330;2424622;1632129526364;2;1;-9812.31841226116;436456.0;31.4854495088789;13.01;;;;0
3752331;2424623;1632129526414;2;1;-9848.29350056577;437043.0;25.9998945646475;13.22;27.7265631336036;29.5109115501128;0.0;58049
3752332;2424623;1632129526414;2;3;-12185.5856274664;437043.0;25.9998945646475;13.22;27.7265631336036;29.5109115501128;0.0;58049
3752333;2424624;1632129526418;2;3;-12185.5856274664;437011.0;25.4213354457308;13.17;27.7265631336036;29.5109115501128;0.0;58049
3752334;2424624;1632129526418;2;1;-9848.29350056577;437011.0;25.4213354457308;13.17;27.7265631336036;29.5109115501128;0.0;58049
3752335;2424625;1632129526421;2;1;-9818.31426031193;436557.0;25.0130461493312;13.09;28.6434255471743;30.0336614587914;0.0;58049
3752336;2424625;1632129526421;2;3;-12185.5856274664;436557.0;25.0130461493312;13.09;28.6434255471743;30.0336614587914;0.0;58049
3752337;2424626;1632129526425;2;1;-9809.32048823578;436244.0;24.4864673748842;13.0;28.7900021083895;30.1182802009864;0.0;58049
3752338;2424626;1632129526425;2;3;-12185.5856274664;436244.0;24.4864673748842;13.0;28.7900021083895;30.1182802009864;0.0;58049
3752339;2424627;1632129526429;2;1;-9812.31841226116;435951.0;23.9914470981041;12.91;28.7447720332512;30.0921352509426;0.0;58049
3752340;2424627;1632129526429;2;3;-12185.5856274664;435951.0;23.9914470981041;12.91;28.7447720332512;30.0921352509426;0.0;58049
3754303;2425739;1632129536086;4;1;-5900.26425226162;437057.0;31.3491639253398;13.03;;;;0
3754310;2425742;1632129536097;2;3;-12268.7780191708;437146.0;20.5857875220397;13.01;;;;58049
3754311;2425743;1632129536100;2;3;-12274.7738672216;437126.0;21.081210112701;13.19;;;;58049
3754332;2425753;1632129536136;2;1;-9830.30595641347;436536.0;31.3591424003105;13.04;29.5969829050899;30.6341681363829;0.0;0
3754333;2425753;1632129536136;4;1;-5789.34106332241;436324.0;31.3429862732094;12.62;29.5969829050899;30.6341681363829;0.0;0
3754334;2425753;1632129536136;4;2;4011.22234596393;436324.0;31.3429862732094;12.62;29.5969829050899;30.6341681363829;0.0;0
3754335;2425754;1632129536140;2;1;-9836.30180446424;436969.0;31.4709690004325;13.07;;;;0
3754339;2425758;1632129536190;4;3;-8305.52461653364;437207.0;31.9390784585211;12.86;;;;0
3754340;2425758;1632129536190;4;1;-5918.25179641393;437207.0;31.9390784585211;12.86;;;;0
3754357;2425767;1632129536294;4;2;3912.29085312626;436076.0;36.0974607610709;12.92;;;;0
3754398;2425789;1632129536344;4;1;-5915.25387238854;436760.0;26.8130250575845;13.25;29.0210600548035;30.2747166509268;0.0;0
3754399;2425789;1632129536344;2;1;-9854.28934861654;437121.0;32.840217255922;13.2;29.0210600548035;30.2747166509268;0.0;0
